අන්‍යයන්,anyayan
සෙවීමට,seweemata
සංස්කෘතියක්,sanskthiyak
විහාරයට,wiharayata
විසුරුවා,wisuruwa
භික්ෂුණිය,bhikshuniya
බුවා,buwa
පෙන්වීම,penweema
පීඩාවට,peedawata
පැළ,pela
පංති,panthi
එහෙමයි,ehemayi
උදවිය,udawiya
ඇඳුම,enduma
ඇගෙන්,egen
අවශ්‍යයි,awashyayi
සාරධර්ම,saradharma
ශිෂ්ට,shishta
ශාසනය,shasanaya
වාතය,wathaya
ලිවීම,liweema
රුසියාවේ,rusiyawe
මිසක්,misak
පතිත,pathitha
නවකථාව,nawakathawa
චෛතසික,chaithasika
ගණයට,ganayata
කාර්,kar
ක්ෂණික,kshanika
කමිටු,kamitu
කඩු,kadu
ඇමැතිවරුන්,emethiwarun
ඇත්තට,eththata
අවාසනාවන්ත,awasanawantha
සුදානම්,sudanam
වරදවා,waradawa
ලිපියේ,lipiye
යුද්ධයෙන්,yuddhayen
මල්වතු,malwathu
මර්දනය,mardanaya
පැතිරී,pethiree
ධර්මයට,dharmayata
දුනි,duni
දමනු,damanu
කිවහොත්,kiwahoth
එකකට,ekakata
අනිවාර්යයෙන්,aniwaryayen
අනික,anika
හොරණ,horana
සොහොන්,sohon
සාහිත්‍යයෙහි,sahithyayehi
වාර්ගික,wargika
ලක්ව,lakwa
යොදාගෙන,yodagena
මේස,mesa
මුල්ම,mulma
මවුපියන්,mawupiyan
භිකබුණී,bhikabunee
පෙදෙසේ,pedese
පිටත්ව,pitathwa
නාන,nana
ධර්මයක්,dharmayak
දඹදිව,dambadiwa
ත්‍යාග,thyaga
ජනපදයේ,janapadaye
ක්ෂය,kshaya
අඟුරු,anguru
හදන,hadana
මොකටද,mokatada
මාර්තා,martha
බලාපොරොත්තුව,balaporoththuwa
පිස,pisa
ප්‍රතිපාදන,prathipadana
නොගත්,nogath
ධම්පියා,dhampiya
දයාව,dayawa
දම්,dam
කැටි,keti
ආභරණ,abharana
අපේක්ෂිත,apekshitha
අධිකාරි,adhikari
ස්වභාවයෙන්,swabhawayen
වෙනකොට,wenakota
විමර්ශනය,wimarshanaya
රසායනික,rasayanika
මහණතෙම,mahanathema
බෙර,bera
පෙට්ටිය,pettiya
ප්‍රාග්,prag
ප්‍රයෝජනය,prayojanaya
පරම්පරාව,paramparawa
නොවැම්බර්,nowembar
ගැසූ,gesu
ගඳ,ganda
කෙනකුට,kenakuta
කාශ්‍යප,kashyapa
ක්‍රිස්තු,kristhu
කවියාගේ,kawiyage
එජාපයේ,ejapaye
එකකු,ekaku
ඇමරිකන්,emarikan
ඇතුන්,ethun
ආරෝපණය,aropanaya
ශිෂ්‍යත්ව,shishyathwa
වෙළඳාම,welandama
භේදය,bhedaya
පැවතිණි,pewathini
පාළු,palu
ප්‍රහාරයක්,praharayak
පරලොව,paralowa
නොදෙන,nodena
ගැනීමක්,geneemak
ආදරයෙන්,adarayen
අවලංගු,awalangu
අදියර,adiyara
සාත්තු,saththu
සංකල්පයක්,sankalpayak
මූලාශ්‍ර,mulashra
මුද්‍රණ,mudrana
මාර්ටින්,martin
බුද්ධියෙන්,buddhiyen
පෙරහර,perahara
පැවතිය,pewathiya
දියුණුවට,diyunuwata
ණ,na
කරයිද,karayida
කපන,kapana
උදායි,udayi
ඉහළම,ihalama
සිදුරු,siduru
ස්ථවිර,sthawira
ස්තරය,stharaya
සහෝදරයා,sahodaraya
සරිලන,sarilana
වැදගත්කමක්,wedagathkamak
ලියැවුණු,liyewunu
මොනවාද,monawada
තෙපි,thepi
තිබෙනු,thibenu
ගෙඩියක්,gediyak
කුමාරි,kumari
කැලණිය,kelaniya
කැටුව,ketuwa
කළමනාකරු,kalamanakaru
ඇමරිකාව,emarikawa
ඇඟේ,enge
අනෙක,aneka
අත්දැකීමක්,athdekeemak
සුන්දරත්වය,sundarathwaya
සිදුකළ,sidukala
සන්ධානයට,sandhanayata
ශ්‍රාවක,shrawaka
විජේසිංහ,wijesinha
විචිත්‍ර,wichithra
යුග,yuga
මවා,mawa
දැඩිව,dediwa
දකින්ට,dakinta
ගෙවීම,geweema
ගාස්තු,gasthu
කිම,kima
ක්‍රියාදාමය,kriyadamaya
කරගනු,karaganu
ආරක්ෂිත,arakshitha
අත්දැකීම,athdekeema
හී,hee
හිතා,hitha
සිරිතක්,sirithak
ශක්තියෙන්,shakthiyen
විද්වතුන්,widwathun
වර්ධනයට,wardhanayata
පළල්,palal
පවිත්‍ර,pawithra
කළමනාකාර,kalamanakara
කරුණාවෙන්,karunawen
ඔබතුමා,obathuma
හාමුදුරුවනේ,hamuduruwane
හතක්,hathak
සතියක්,sathiyak
සංරක්ෂණ,sanrakshana
වෙද්දී,weddee
වෙත්වා,wethwa
යුත්තකි,yuththaki
පෝල්,pol
පැවරී,pewaree
ප්‍රඥා,pragna
ධූරය,dhuraya
දහමට,dahamata
දක්වති,dakwathi
තුවක්කු,thuwakku
ගෑණු,genu
එතෙර,ethera
ආර්ථරික,artharika
සූර්ය,surya
සිටිමි,sitimi
සිංහලය,sinhalaya
සැරයක්,serayak
සර්ව,sarwa
සභාපතිවරයා,sabhapathiwaraya
වීරසූරිය,weerasuriya
වර්තමානය,warthamanaya
පුතේ,puthe
නෝර්වේ,norwe
නියමිතය,niyamithaya
දේශ,desha
දිනමිණ,dinamina
එහිම,ehima
එකත්,ekath
උල්ලංඝනය,ullanghanaya
උපාධිය,upadhiya
ඉරාක,iraka
අවශ්‍යය,awashyaya
සත්‍යයක්,sathyayak
සත්වයෝ,sathwayo
රටකට,ratakata
නෙව,newa
දැල්,del
දක්වනු,dakwanu
තැනැත්තකු,theneththaku
ගෙවීම්,geweem
ගුණාංග,gunanga
ආර්යාවෙනි,aryaweni
සැලකිල්ලක්,selakillak
සකු,saku
වුනාට,wunata
විරෝධතා,wirodhatha
වරප්‍රසාද,waraprasada
යොදන්න,yodanna
මාර්ක්,mark
භටයන්,bhatayan
පුතු,puthu
පාලකයා,palakaya
චර්යාව,charyawa
ගැන්මට,genmata
කෙළ,kela
කිසිවෙකු,kisiweku
ඇත්තේද,eththeda
අමාත්‍යාංශ,amathyansha
සිහියට,sihiyata
සමරවීර,samaraweera
වැඩෙන,wedena
මණ්ඩලයක්,mandalayak
මගිනි,magini
භේද,bheda
බැමි,bemi
නිකම්ම,nikamma
දොරවල්,dorawal
දැකල,dekala
තුන්වැනි,thunweni
කෘතිවල,kthiwala
සෙමෙන්,semen
වූවෝ,wuwo
වායු,wayu
මෙහෙණ,mehena
පුහුණුවක්,puhunuwak
ප්‍රාග්ධන,pragdhana
පරිමාණ,parimana
නැරඹීමට,nerambeemata
දුෂ්කරතා,dushkaratha
තිබුනේ,thibune
ජාතියේ,jathiye
හේතුකොට,hethukota
හිඟය,hingaya
සහිතවූ,sahithawu
වනයෙහි,wanayehi
ලියුමක්,liyumak
ලදහ,ladaha
ලක්ෂණයකි,lakshanayaki
රිසි,risi
රාගය,ragaya
මහරගම,maharagama
මලක්,malak
පුරාවිද්‍යාත්මක,purawidyathmaka
පරමාර්ථ,paramartha
පරම්පරා,parampara
පංතිය,panthiya
නොපෙනී,nopenee
දකුණට,dakunata
එහෙන,ehena
එසේත්,eseth
එක්කම,ekkama
ඉක්ම,ikma
ආයතනයට,ayathanayata
අල,ala
හෙබි,hebi
සාක්ෂාත්,sakshath
ස්වරය,swaraya
ශිල්පය,shilpaya
වෛර,waira
ලද්දේය,laddeya
රැස්වීමට,resweemata
රන්දි,randi
මධ්‍යස්ථානයක්,madhyasthanayak
බැලීමේ,beleeme
ඔක්තෝබර්,okthobar
ඉදිරියේදී,idiriyedee
අර්ථයෙන්,arthayen
සුසුමක්,susumak
වනවා,wanawa
මහජනතාව,mahajanathawa
දැනුදු,denudu
ජපනුන්,japanun
කළමනාකරණ,kalamanakarana
කලාතුරකින්,kalathurakin
ඔයාව,oyawa
ඊයෙ,eeye
ඉ,i
ඇතැයිද,etheyida
ආසියාතික,asiyathika
ආධාරයෙන්,adharayen
ආගන්තුක,aganthuka
අරුත,arutha
අධි,adhi
වෙතැයි,wetheyi
විදෙස්,wides
යාපනයේ,yapanaye
යනුයි,yanuyi
බැලීමෙන්,beleemen
පසුවය,pasuwaya
පසුකාලීන,pasukaleena
දෙවරක්,dewarak
දැක්වූයේ,dekwuye
තත්ත්ව,thaththwa
ගමගේ,gamage
එතුමාගේ,ethumage
සරු,saru
සංස්ථාවේ,sansthawe
වෙලාවක,welawaka
වෙන්කර,wenkara
විදුහල,widuhala
වත්ත,waththa
ලෙසයි,lesayi
මෙමගින්,memagin
මතයට,mathayata
පිළිවෙත,piliwetha
නොවු,nowu
තැනැත්තාට,theneththata
කේන්ද්‍ර,kendra
කැරිණි,kerini
ක්ෂේත්‍ර,kshethra
ඇවෑමෙන්,ewemen
අරමුණින්,aramunin
හලාවත,halawatha
සියලූම,siyaluma
ස්ථාවරය,sthawaraya
ලිඛිත,likitha
මූලධර්ම,muladharma
බන්ධනාගාර,bandhanagara
නිමවා,nimawa
නිත්‍ය,nithya
නාලිකා,nalika
ති,thi
ජයසිංහ,jayasinha
කර්මාන්තයේ,karmanthaye
එවා,ewa
අසීමිත,aseemitha
අදිකාරම්,adikaram
සිදුකර,sidukara
සැටියෙන්,setiyen
සමහරවිට,samaharawita
සතියකට,sathiyakata
වීර්ය,weerya
වහල,wahala
වත,watha
මනුෂ්‍යයා,manushyaya
පන්සලට,pansalata
දීප්තිමත්,deepthimath
දන්න,danna
කාමරේ,kamare
එක්කෝ,ekko
ඇසීමට,eseemata
ඇල,ela
අවස්ථාවකදී,awasthawakadee
සම්මුබ,sammuba
සඳුදා,sanduda
විශ්වවිද්‍යාලයේ,wishwawidyalaye
වනාහී,wanahee
වදින,wadina
යුතුකම,yuthukama
බහුතරයක්,bahutharayak
පහකට,pahakata
පරිසරයක්,parisarayak
නිර්මාණාත්මක,nirmanathmaka
තාත්තාගේ,thaththage
තාත්ත,thaththa
ජීවය,jeewaya
ජාතිකයන්,jathikayan
ගැසීමට,geseemata
එයාගේ,eyage
එච්චර,echchara
උයන,uyana
හෝටල්,hotal
හාමුදුරුවන්ට,hamuduruwanta
හාමුදුරුවන්ගේ,hamuduruwange
සිතයි,sithayi
සිකබා,sikaba
විද්‍යාලයට,widyalayata
වැඩිහිටියන්,wedihitiyan
වසරේදී,wasaredee
වධ,wadha
ලෝහ,loha
ලෙසම,lesama
මොනරාගල,monaragala
පිරිපුන්,piripun
නොපෙනෙන,nopenena
දුබල,dubala
තකා,thaka
ඥාති,gnathi
ජනරාල්,janaral
ගිලිහී,gilihee
ගත්තොත්,gaththoth
කිහිපයක,kihipayaka
ඇතිවීම,ethiweema
ශිව,shiwa
වෙනදා,wenada
වැළැක්වීමට,welekweemata
වර්ගයා,wargaya
පුළුවන්ද,puluwanda
පිවිස,piwisa
පවතියි,pawathiyi
නාඩගම්,nadagam
තිදෙනා,thidena
ජලයෙන්,jalayen
කෑල්ලක්,kellak
එළියෙන්,eliyen
උත්සුක,uthsuka
ආහාරයට,aharayata
අනියම්,aniyam
අධිකරණයට,adhikaranayata
අදහසයි,adahasayi
සෙනරත්,senarath
සිතන්නට,sithannata
සරදම්,saradam
විවේචනයට,wiwechanayata
යුද්ධයේ,yuddhaye
මුහුණේ,muhune
මාවතේ,mawathe
මාතෘ,math
බ්‍රිතාන්‍යයේ,brithanyaye
පිටව,pitawa
පාලනයක්,palanayak
පරිවර්තන,pariwarthana
නික,nika
න්‍යෂ්ටික,nyashtika
දශකයේ,dashakaye
දවසට,dawasata
තැනම,thenama
කටට,katata
ඉවත්ව,iwathwa
ඉදිකිරීම,idikireema
ආකෘති,akthi
අරඹා,aramba
අන්තර්ගතය,anthargathaya
සියයක්,siyayak
සම්පාදන,sampadana
සදාකාලික,sadakalika
සංකීර්ණය,sankeernaya
රහසක්,rahasak
මිස්,mis
මිට,mita
පොත්පත්,pothpath
පුටුව,putuwa
පැත්තක,peththaka
පසුවන,pasuwana
නමිනි,namini
කෙරුවා,keruwa
උන්ට,unta
ආස්වාදයක්,aswadayak
අගමැතිවරයා,agamethiwaraya
හැඳින්,hendin
සිසිල්,sisil
සතුන්ගේ,sathunge
සංඥාව,sangnawa
වෙද,weda
මෙයා,meya
මිදුලට,midulata
ගම්මානයේ,gammanaye
උපදී,upadee
ඇත්තා,eththa
අරමුදල,aramudala
හුන්,hun
හවස,hawasa
සාමූහික,samuhika
සමහරුන්,samaharun
වෑන්,wen
වැඩිදුර,wedidura
වළක්වා,walakwa
රථයක්,rathayak
යෝජිත,yojitha
යකා,yaka
මෑතක,methaka
පොඩ්ඩක්,poddak
දිනයක්,dinayak
දක්වාම,dakwama
ගැලවී,gelawee
ගතියක්,gathiyak
කියවීම,kiyaweema
අහසට,ahasata
අසාමාන්‍ය,asamanya
සිරුරු,siruru
සඟරාව,sangarawa
යනකොට,yanakota
භාණ්ඩයක්,bhandayak
බලපෑ,balape
පොළට,polata
පරපුරට,parapurata
දැනගත,denagatha
ගෝපාල,gopala
ගුණසේකර,gunasekara
ගහන,gahana
ගන්වා,ganwa
කියුම්,kiyum
කළමනාකරණය,kalamanakaranaya
ඒගොල්ලො,egollo
එල්ලා,ella
ඇත්තකු,eththaku
අයගෙන්,ayagen
ළදරු,ladaru
හෝටලයේ,hotalaye
සාමාජිකත්වය,samajikathwaya
විහිදී,wihidee
භාගය,bhagaya
බිලි,bili
ප්‍රදේශයෙන්,pradeshayen
පලක්,palak
පනවා,panawa
නොඑසේ,noese
නාග,naga
දෙස්,des
දෙන්නම්,dennam
ත්‍රිවිධ,thriwidha
තරඟ,tharanga
ජයසූරිය,jayasuriya
ඔවුනගේ,owunage
එකතුව,ekathuwa
අභයගිරි,abhayagiri
අනාත්ම,anathma
හේතූන්,hethun
ස්පර්ශය,sparshaya
සපයනු,sapayanu
සඳුන්,sandun
සඟවන,sangawana
විහාරස්ථාන,wiharasthana
වියෙහි,wiyehi
ලොම්,lom
ප්‍රමාණයට,pramanayata
නිය,niya
නැමී,nemee
නැන්දා,nenda
ධනවාදී,dhanawadee
ටයිම්ස්,tayims
ගහන්න,gahanna
කබලාන,kabalana
ඉක්මණින්,ikmanin
ඇත්තක්,eththak
ආයුෂ,ayusha
ආනයන,anayana
හැඟීමෙන්,hengeemen
සිද්ධාන්ත,siddhantha
සැකය,sekaya
සත්වයා,sathwaya
සංබ්‍යාවක්,sanbyawak
රැකියාව,rekiyawa
යුද්ධයක්,yuddhayak
යැවීමට,yeweemata
පූජාව,pujawa
පැමිණේ,pemine
පාසල්වල,pasalwala
නොපෙනේ,nopene
නිර්වචනය,nirwachanaya
දෙනාටම,denatama
තර්කානුකූල,tharkanukula
ගැමියා,gemiya
ගැන්ම,genma
ඉංජිනේරු,injineru
ඇසුවේය,esuweya
අයින්,ayin
හේන්,hen
හරක්,harak
සැබවින්ම,sebawinma
සැපයූ,sepayu
සමිතියේ,samithiye
වුණි,wuni
ව්‍යවහාරය,wyawaharaya
මාසයක්,masayak
පූජනීය,pujaneeya
පුරුෂයන්,purushayan
පුදුමයක්,pudumayak
පත්වීම්,pathweem
නළ,nala
ධනපති,dhanapathi
තාත්තාට,thaththata
ඥාන,gnana
චීවර,cheewara
ගණ,gana
කෘතීන්,ktheen
කුටි,kuti
ක්‍රියාමාර්ග,kriyamarga
ඇතැම්විට,ethemwita
අමුත්තන්,amuththan
හිසින්,hisin
හිතුණා,hithuna
සැකකරුවන්,sekakaruwan
සමගි,samagi
සංස්කෘතියට,sanskthiyata
සංවිධානයක්,sanwidhanayak
වෛරය,wairaya
වෛදික,waidika
ලාල්,lal
ලබාදුන්,labadun
රුස්,rus
රාජධානිය,rajadhaniya
යෙදේ,yede
මෙදින,medina
බවකි,bawaki
ප්‍රදේශවලට,pradeshawalata
පළමුවැනි,palamuweni
නි,ni
දැම්මා,demma
තෙවන,thewana
තිස්සෙම,thissema
ජනාවාස,janawasa
ගාථා,gatha
එසේය,eseya
උදුරා,udura
ඉස්සරහ,issaraha
අකුසල,akusala
සුන්,sun
සහජ,sahaja
සංවිධානයට,sanwidhanayata
ශාරිපුත්‍රය,shariputhraya
වෙර,wera
විමල්,wimal
වැහි,wehi
රාග,raga
යනාදි,yanadi
මැන,mena
මමයි,mamayi
බමුණන්,bamunan
පියාට,piyata
පිදුරු,piduru
නිරන්තර,niranthara
දන්නවද,dannawada
චෝදනාව,chodanawa
ගියාම,giyama
කැලේ,kele
කැමැත්තෙමි,kemeththemi
කව්ද,kawda
කලාතුරකිනි,kalathurakini
ඔවුන්ව,owunwa
උණත්,unath
අවකාශය,awakashaya
සාහිත්‍යයට,sahithyayata
ශී්‍රී,sheeree
විහිළු,wihilu
විරූ,wiru
වැඩියි,wediyi
යේ,ye
යානා,yana
මසක්,masak
මතින්,mathin
පෘතුගීසි,pthugeesi
පරපුරේ,parapure
නිදර්ශන,nidarshana
ගලක්,galak
කෘතියෙහි,kthiyehi
කුමට,kumata
එනමුත්,enamuth
උණේ,une
අඟහරුවාදා,angaharuwada
හත,hatha
සෝනියා,soniya
සෙත්,seth
සෘතු,sthu
සිවුර,siwura
සිදුවෙයි,siduweyi
සාදන,sadana
සමූපකාර,samupakara
සංවේදී,sanwedee
ලිවීමට,liweemata
ලබති,labathi
රඟ,ranga
මොස්කව්,moskaw
මුලික,mulika
මන්ත්‍ර,manthra
පවුලක,pawulaka
තුනක,thunaka
තණ්හා,thanha
ජනකාය,janakaya
එළු,elu
උනා,una
ආරක්‍ෂා,araksha
ආකාරයත්,akarayath
සිතමින්,sithamin
සහනාධාර,sahanadhara
මුහුදේ,muhude
මහදැන,mahadena
බොන,bona
බමුණෝ,bamuno
බතී,bathee
පෙනුම,penuma
පිළිබද,pilibada
පසුදා,pasuda
පඳුරු,panduru
නොකඩවා,nokadawa
නගරවල,nagarawala
දැක්කා,dekka
කෘෂිකර්මය,kshikarmaya
කව්,kaw
කඩිනම්,kadinam
ඉදිරිපස,idiripasa
ඇමරිකාවේ,emarikawe
අහස්,ahas
හමුවට,hamuwata
සුප්‍රකට,suprakata
සැර,sera
සාහසික,sahasika
සන්නිවේදනය,sanniwedanaya
සකල,sakala
ව්‍යුහය,wyuhaya
වර්ජනය,warjanaya
වරම්,waram
ලිහිල්,lihil
රැගත්,regath
මහානාම,mahanama
මදක්,madak
පෙන්වීමට,penweemata
පාන්දර,pandara
පරාජයට,parajayata
දැරියන්,deriyan
දමයි,damayi
තුන්වෙනි,thunweni
කෙල්ල,kella
එයම,eyama
සාර්ථකත්වය,sarthakathwaya
ස්ත්‍රියක්,sthriyak
විස්සක්,wissak
රජවරු,rajawaru
බැර,bera
පොළොන්නරුවේ,polonnaruwe
පැති,pethi
පරීක්ෂණයක්,pareekshanayak
පන්සල්,pansal
පද්‍යය,padyaya
තෝරාගත්,thoragath
ඩෙනිස්,denis
ජනගහනය,janagahanaya
චක්‍රය,chakraya
ගසමින්,gasamin
ගතහොත්,gathahoth
ගණනාවක,gananawaka
කාන්තාවන්ට,kanthawanta
ක්‍රීඩාවේ,kreedawe
එකෙන්,eken
අවතීර්ණ,awatheerna
හඟියි,hangiyi
වෛද්‍යවරුන්,waidyawarun
විශාලතම,wishalathama
වියුක්ත,wiyuktha
විධානය,widhanaya
වටපිට,watapita
ලේකම්වරයා,lekamwaraya
ලතින්,lathin
රුක,ruka
මුද්‍රිත,mudritha
මතකයි,mathakayi
බසට,basata
බලයේ,balaye
බලධාරීන්,baladhareen
බට,bata
පිළිසකර,pilisakara
පරිපාලනය,paripalanaya
නීතිමය,neethimaya
ගසන,gasana
කැරලි,kerali
කාරියක්,kariyak
කරන්නෝ,karanno
එයද,eyada
උරුමයේ,urumaye
සිනාසුණා,sinasuna
සිතිණ,sithina
සබරගමුව,sabaragamuwa
ශබ්දයක්,shabdayak
විරෝධි,wirodhi
විමර්ශන,wimarshana
යථාර්ථවාදී,yatharthawadee
මැදි,medi
මවු,mawu
පුරුෂයෙක්,purushayek
පිළිවෙළින්,piliwelin
පැනල,penala
නොවෙති,nowethi
නියමිතව,niyamithawa
දයා,daya
දඬුවම,danduwama
තිරිසන්,thirisan
තත්වයන්,thathwayan
කියවන්න,kiyawanna
කවුරුන්,kawurun
අබියස,abiyasa
අඩුවෙන්,aduwen
හොරෙන්,horen
හුණු,hunu
හිමියා,himiya
සුරක්ෂිත,surakshitha
වෙලාවේ,welawe
විසඳීමට,wisandeemata
ලේක්හවුස්,lekhawus
යෙදූ,yedu
යමෙකු,yameku
මෙයයි,meyayi
මුහන්දිරම්,muhandiram
මුද්‍රා,mudra
නිර්මිත,nirmitha
නගරයක්,nagarayak
තීරු,theeru
ගියෝ,giyo
ඇඳගෙන,endagena
අල්වා,alwa
අල්,al
සම්පත,sampatha
ශාලාවට,shalawata
ශාන්ති,shanthi
රාළහාමිගේ,ralahamige
මේනකා,menaka
මෙවලම්,mewalam
මහල්,mahal
බැම්මේ,bemme
පැත්තකට,peththakata
ප්‍රයෝජනයක්,prayojanayak
නිරාකරණය,nirakaranaya
නියෝගය,niyogaya
නැඟිට,nengita
ධ්‍යානයට,dhyanayata
තීන්දුව,theenduwa
චේතනාව,chethanawa
ගේට්ටුව,gettuwa
ගමනින්,gamanin
කණ,kana
ඒකි,eki
එකක,ekaka
ඉගෙනීම,igeneema
ඇඟට,engata
ආත්මයක්,athmayak
අසනීප,asaneepa
අලුත්වැඩියා,aluthwediya
අර්ථයක්,arthayak
අද්භූත,adbhutha
අත්‍යාවශ්‍ය,athyawashya
සිරුරේ,sirure
සැපය,sepaya
ස්තර,sthara
සදාචාරය,sadacharaya
ශාඛා,shaka
විඳීමට,windeemata
වස්තූන්,wasthun
වලංගු,walangu
රාජා,raja
මෛත්‍රිය,maithriya
මිතුරා,mithura
මානුෂික,manushika
බලෙන්,balen
ප්‍රතිමාව,prathimawa
නිර්භීත,nirbheetha
නාහිමියන්,nahimiyan
නායකයෝ,nayakayo
දෑතින්,dethin
දඹුල්ල,dambulla
තැබුවේ,thebuwe
තැති,thethi
චෙක්පත්,chekpath
ගින්න,ginna
ග්‍රන්ථවල,granthawala
උපන්නේ,upanne
ආහ්,ah
අවසරය,awasaraya
සමස්තයක්,samasthayak
සන්,san
සදහන්,sadahan
වාදනය,wadanaya
ව්‍යාපාරයට,wyaparayata
යෙදීමට,yedeemata
යක්ෂ,yaksha
මහඟු,mahangu
බුදුසමය,budusamaya
පොරොන්දුව,poronduwa
පුද්ගලයෝ,pudgalayo
පපුව,papuwa
නොබෝ,nobo
නිෂ්ඵල,nishpala
ගොඩනැගිල්ලක්,godanegillak
කොමිසම,komisama
කියත්,kiyath
ඇහුම්කන්,ehumkan
අභ්‍යාස,abhyasa
අප්‍රසන්න,aprasanna
අනාථ,anatha
සෛල,saila
සුසුම්,susum
ස්තුති,sthuthi
සය,saya
වූවත්,wuwath
වාර්ෂිකව,warshikawa
රහසේ,rahase
පොලීසියට,poleesiyata
පාමුල,pamula
නමා,nama
දේහය,dehaya
දවසකට,dawasakata
තුරන්,thuran
ගහල,gahala
ගත්තෙමි,gaththemi
කියාගෙන,kiyagena
උගැන්ම,ugenma
ඇහුව,ehuwa
අතරෙ,athare
හැසිරෙන,hesirena
සොර,sora
විද්‍යමාන,widyamana
වැසුණු,wesunu
වටිනාකමක්,watinakamak
මැතිවරණයක්,methiwaranayak
මාරයා,maraya
මල්ල,malla
මයික්,mayik
භාවයෙන්,bhawayen
බස්නායක,basnayaka
බරක්,barak
පොඩිහාමිනේ,podihamine
පෙළක්,pelak
පිරිවෙන්,piriwen
පරිභෝජනය,paribhojanaya
පමා,pama
දෙදෙනාට,dedenata
දිස්ත්‍රික්ක,disthrikka
කොහෙත්,koheth
ආණ්ඩුකාර,andukara
අයෙකුට,ayekuta
හිත්,hith
සිංහලයන්ගේ,sinhalayange
විශ්වය,wishwaya
විලාසය,wilasaya
විමසීමේ,wimaseeme
විභක්ති,wibhakthi
රාමඤ්ඤ,ramaknkna
යෑමේ,yeme
ප්‍රාග්ධනය,pragdhanaya
පවතිනවා,pawathinawa
පන්සලේ,pansale
දේවිය,dewiya
තියන්න,thiyanna
ගුණදාස,gunadasa
කාර්යක්ෂම,karyakshama
කාගේත්,kageth
අධිරාජයා,adhirajaya
හැඳින්වීමට,hendinweemata
හතළිස්,hathalis
ශීල,sheela
වැළැක්වීම,welekweema
වැවේ,wewe
වන්නේද,wanneda
රෝම,roma
රජතුමාගේ,rajathumage
යුත්තක්,yuththak
මහත්වරුන්,mahathwarun
බැඳීම,bendeema
පුද්ගලයන්ට,pudgalayanta
ප්‍රබන්ධ,prabandha
නිශ්ශංක,nishshanka
නිර්දය,nirdaya
නාථ,natha
දෙනෙතින්,denethin
දිසාවේ,disawe
තිලක්,thilak
තාර,thara
ගුරුවරු,guruwaru
ගවේෂණය,gaweshanaya
කුලියට,kuliyata
කීපයක,keepayaka
කලකින්,kalakin
එයත්,eyath
ඉතිරිව,ithiriwa
ඇසේ,ese
අරභයා,arabhaya
හේත්තු,heththu
හැඟී,hengee
සාක්කි,sakki
විසිර,wisira
වැසියෝ,wesiyo
වළලු,walalu
රුසියාව,rusiyawa
මෙහේ,mehe
බ්‍රහස්පතින්දා,brahaspathinda
බහුතරය,bahutharaya
බලන්ට,balanta
පූ,pu
පන්සල,pansala
පතක්,pathak
තොපගේ,thopage
තෙන්නකෝන්,thennakon
ගිලන්,gilan
කෙළවරක්,kelawarak
කාරිය,kariya
කලි,kali
කරන්නත්,karannath
උච්චාරණය,uchcharanaya
අධ්‍යාත්ම,adhyathma
හිංසා,hinsa
හැට,heta
සංස්කරණය,sanskaranaya
ලක්ෂයක්,lakshayak
භට,bhata
පේන,pena
පිළිමය,pilimaya
පිටතින්,pitathin
පැහැයෙන්,peheyen
පැනවූ,penawu
නරක්,narak
තැනෙක,theneka
කුටිය,kutiya
ඉලක්කය,ilakkaya
අසාධාරණ,asadharana
අනතුරක්,anathurak
සම්ප්‍රදායක්,sampradayak
සඟරා,sangara
ශිල්පියා,shilpiya
වින්‍යාස,winyasa
ලිය,liya
මාතෘකාව,mathkawa
බලපත්‍ර,balapathra
පිහිටියේ,pihitiye
පිඟන්,pingan
ප්‍රභේද,prabheda
නිදන,nidana
තිබුනි,thibuni
තනන,thanana
ගුරුකුල,gurukula
ගසක,gasaka
ක්‍රියාවලියේ,kriyawaliye
කලට,kalata
කපිල,kapila
කථාවට,kathawata
ආශ්වාස,ashwasa
අම්මාත්,ammath
හතරකට,hatharakata
සිසුන්ට,sisunta
සියවස්,siyawas
වීදි,weedi
විවාද,wiwada
වක්‍ර,wakra
ර,ra
මිනිත්තු,miniththu
මතුවන,mathuwana
මතවාද,mathawada
පෝස්ටර්,postar
පුස්තකාල,pusthakala
ප්‍රීතිමත්,preethimath
නොකියා,nokiya
නායකයකු,nayakayaku
නවත්වා,nawathwa
දීය,deeya
දනවන,danawana
තියනව,thiyanawa
ගොඩනගා,godanaga
කුඹුර,kumbura
කාරය,karaya
ඊවා,eewa
ඉදිකරන,idikarana
ආසයි,asayi
ආදියෙහි,adiyehi
අවශ්‍යතාවයක්,awashyathawayak
හිරිහැර,hirihera
සෙනෙහස,senehasa
ශුභ,shubha
වීමටත්,weematath
විටින්,witin
වැඩීම,wedeema
රෝගියා,rogiya
යුගයක,yugayaka
මට්ටම්,mattam
බෙලිගල්,beligal
පේනවා,penawa
පැළඳුම්,pelandum
පැහැය,peheya
පාඨක,pataka
නොබලා,nobala
නිරෝගී,nirogee
නිර්මල,nirmala
නැගුණු,negunu
දෙව,dewa
ජෝර්ජ්,jorj
ජයරත්න,jayarathna
ජයකොඩි,jayakodi
කියවීමෙන්,kiyaweemen
ක්‍රමවත්,kramawath
ඔහුගෙ,ohuge
උසින්,usin
උත්පත්ති,uthpaththi
